TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION,VIDEOID
1,Last Christmas,Wham!,00:22:37,00:27:06,269,Qa6LW2jdkb4
2,It's Beginning To Look A Lot Like Christmas,"Meredith Wilson, Perry Como, et al",00:31:09,00:33:42,153,Qa6LW2jdkb4
3,All I Want for Christmas Is You,Mariah Carey,00:36:49,00:41:38,289,Qa6LW2jdkb4
4,On and On,Stephen Bishop,00:43:20,00:46:16,176,Qa6LW2jdkb4
5,Popular,Wicked,00:49:18,00:53:00,222,Qa6LW2jdkb4
6,The Chipmunk Song (Christmas Don’t Be Late),Alvin & The Chipmunks,00:54:13,00:56:34,141,Qa6LW2jdkb4
7,All I Ask of You,The Phantom of the Opera,00:57:42,01:01:47,245,Qa6LW2jdkb4
8,"Gee, I'm Glad I'm No One Else But Me",Anne of Green of Gables: The Musical,01:05:21,01:07:41,140,Qa6LW2jdkb4
9,Seikan Hikou,Macross Frontier,01:13:49,01:17:39,230,Qa6LW2jdkb4
10,"Where Are You, Christmas?",Faith Hill,01:21:16,01:25:18,242,Qa6LW2jdkb4
11,How 'Bout a Dance,Bonnie and Clyde,01:29:54,01:32:41,167,Qa6LW2jdkb4
12,ビリビリ Be with U,Kaminari Clara,01:34:02,01:38:31,269,Qa6LW2jdkb4
13,Playing Favourites,Kaminari Clara,01:40:29,01:43:35,186,Qa6LW2jdkb4
14,Judas,Lady Gaga,01:45:11,01:49:22,251,Qa6LW2jdkb4
15,"You’re a Mean One, Mr. Grinch",Thurl Ravenscroft,01:50:11,01:52:59,168,Qa6LW2jdkb4
16,Die With A Smile,Lady Gaga and Bruno Mars,01:54:44,01:58:51,247,Qa6LW2jdkb4
